Customer_ID,default,Status_Checking_Acc,Duration_in_Months,Credit_History,Purposre_Credit_Taken,Credit_Amount,Savings_Acc,Years_At_Present_Employment,Inst_Rt_Income,Marital_Status_Gender,Other_Debtors_Guarantors,Current_Address_Yrs,Property,Age,Other_Inst_Plans ,Housing,Num_CC,Job,Dependents,Telephone,Foreign_Worker
100019,1,A12,24,A32,A41,12579.0,A61,A75,4,A92,A101,2,A124,44.0,A143,A153,1,A174,1,A192,A201
100020,0,A14,24,A32,A43,3430.0,A63,A75,3,A93,A101,2,A123,31.0,A143,A152,1,A173,2,A192,A201
100021,0,A14,9,A34,A40,2134.0,A61,A73,4,A93,A101,4,A123,48.0,A143,A152,3,A173,1,A192,A201
100022,0,A11,6,A32,A43,2647.0,A63,A73,2,A93,A101,3,A121,44.0,A143,A151,1,A173,2,A191,A201
100023,0,A11,10,A34,A40,2241.0,A61,A72,1,A93,A101,3,A121,48.0,A143,A151,2,A172,2,A191,A202
100024,0,A12,12,A34,A41,1804.0,A62,A72,3,A93,A101,4,A122,44.0,A143,A152,1,A173,1,A191,A201
100025,0,A14,10,A34,A42,2069.0,A65,A73,2,A94,A101,1,A123,26.0,A143,A152,2,A173,1,A191,A202
100026,0,A11,6,A32,A42,1374.0,A61,A73,1,A93,A101,2,A121,36.0,A141,A152,1,A172,1,A192,A201
100027,0,A14,6,A30,A43,426.0,A61,A75,4,A94,A101,4,A123,39.0,A143,A152,1,A172,1,A191,A201
100028,0,A13,12,A31,A43,409.0,A64,A73,3,A92,A101,3,A121,42.0,A143,A151,2,A173,1,A191,A201
100029,0,A12,7,A32,A43,2415.0,A61,A73,3,A93,A103,2,A121,34.0,A143,A152,1,A173,1,A191,A201
100030,1,A11,60,A33,A49,6836.0,A61,A75,3,A93,A101,4,A124,63.0,A143,A152,2,A173,1,A192,A201
100031,0,A12,18,A32,A49,1913.0,A64,A72,3,A94,A101,3,A121,36.0,A141,A152,1,A173,1,A192,A201
100032,0,A11,24,A32,A42,4020.0,A61,A73,2,A93,A101,2,A123,27.0,A142,A152,1,A173,1,A191,A201
100033,0,A12,18,A32,A40,5866.0,A62,A73,2,A93,A101,2,A123,30.0,A143,A152,2,A173,1,A192,A201
100034,0,A14,12,A34,A49,1264.0,A65,A75,4,A93,A101,4,A124,57.0,A143,A151,1,A172,1,A191,A201
100035,0,A13,12,A32,A42,1474.0,A61,A72,4,A92,A101,1,A122,33.0,A141,A152,1,A174,1,A192,A201
100036,1,A12,45,A34,A43,4746.0,A61,A72,4,A93,A101,2,A122,25.0,A143,A152,2,A172,1,A191,A201
100037,0,A14,48,A34,A46,6110.0,A61,A73,1,A93,A101,3,A124,31.0,A141,A153,1,A173,1,A192,A201
100038,1,A13,18,A32,A43,2100.0,A61,A73,4,A93,A102,2,A121,37.0,A142,A152,1,A173,1,A191,A201
100039,0,A13,10,A32,A44,1225.0,A61,A73,2,A93,A101,2,A123,37.0,A143,A152,1,A173,1,A192,A201
100040,0,A12,9,A32,A43,458.0,A61,A73,4,A93,A101,3,A121,24.0,A143,A152,1,A173,1,A191,A201
100041,0,A14,30,A32,A43,2333.0,A63,A75,4,A93,A101,2,A123,30.0,A141,A152,1,A174,1,A191,A201
100042,0,A12,12,A32,A43,1158.0,A63,A73,3,A91,A101,1,A123,26.0,A143,A152,1,A173,1,A192,A201
100043,0,A12,18,A33,A45,6204.0,A61,A73,2,A93,A101,4,A121,44.0,A143,A152,1,A172,2,A192,A201
100044,0,A11,30,A34,A41,6187.0,A62,A74,1,A94,A101,4,A123,24.0,A143,A151,2,A173,1,A191,A201
100045,1,A11,48,A34,A41,6143.0,A61,A75,4,A92,A101,4,A124,58.0,A142,A153,2,A172,1,A191,A201
100046,0,A14,11,A34,A40,1393.0,A61,A72,4,A92,A101,4,A123,35.0,A143,A152,2,A174,1,A191,A201
100047,0,A14,36,A32,A43,2299.0,A63,A75,4,A93,A101,4,A123,39.0,A143,A152,1,A173,1,A191,A201
100048,0,A11,6,A32,A41,1352.0,A63,A71,1,A92,A101,2,A122,23.0,A143,A151,1,A171,1,A192,A201
100049,0,A14,11,A34,A40,7228.0,A61,A73,1,A93,A101,4,A122,39.0,A143,A152,2,A172,1,A191,A201
100050,0,A14,12,A32,A43,2073.0,A62,A73,4,A92,A102,2,A121,28.0,A143,A152,1,A173,1,A191,A201
100051,0,A12,24,A33,A42,2333.0,A65,A72,4,A93,A101,2,A122,29.0,A141,A152,1,A172,1,A191,A201
100052,0,A12,27,A33,A41,5965.0,A61,A75,1,A93,A101,2,A123,30.0,A143,A152,2,A174,1,A192,A201
100053,0,A14,12,A32,A43,1262.0,A61,A73,3,A93,A101,2,A123,25.0,A143,A152,1,A173,1,A191,A201
100054,0,A14,18,A32,A41,3378.0,A65,A73,2,A93,A101,1,A122,31.0,A143,A152,1,A173,1,A192,A201
100055,1,A12,36,A33,A40,2225.0,A61,A75,4,A93,A101,4,A124,57.0,A141,A153,2,A173,1,A192,A201
100056,0,A14,6,A31,A40,783.0,A65,A73,1,A93,A103,2,A121,26.0,A142,A152,1,A172,2,A191,A201
100057,1,A12,12,A32,A43,6468.0,A65,A71,2,A93,A101,1,A124,52.0,A143,A152,1,A174,1,A192,A201
100058,0,A14,36,A34,A43,9566.0,A61,A73,2,A92,A101,2,A123,31.0,A142,A152,2,A173,1,A191,A201
100059,0,A13,18,A32,A40,1961.0,A61,A75,3,A92,A101,2,A123,23.0,A143,A152,1,A174,1,A191,A201
100060,1,A11,36,A34,A42,6229.0,A61,A72,4,A92,A102,4,A124,23.0,A143,A151,2,A172,1,A192,A201
100061,0,A12,9,A32,A49,1391.0,A61,A73,2,A94,A101,1,A121,27.0,A141,A152,1,A173,1,A192,A201
100062,0,A12,15,A34,A43,1537.0,A65,A75,4,A93,A103,4,A121,50.0,A143,A152,2,A173,1,A192,A201
100063,1,A12,36,A30,A49,1953.0,A61,A75,4,A93,A101,4,A124,61.0,A143,A153,1,A174,1,A192,A201
100064,1,A12,48,A30,A49,14421.0,A61,A73,2,A93,A101,2,A123,25.0,A143,A152,1,A173,1,A192,A201
100065,0,A14,24,A32,A43,3181.0,A61,A72,4,A92,A101,4,A122,26.0,A143,A152,1,A173,1,A192,A201
100066,0,A14,27,A32,A45,5190.0,A65,A75,4,A93,A101,4,A122,48.0,A143,A152,4,A173,2,A192,A201
100067,0,A14,12,A32,A43,2171.0,A61,A72,2,A92,A101,2,A123,29.0,A141,A152,1,A173,1,A191,A201
100068,0,A12,12,A32,A40,1007.0,A64,A73,4,A94,A101,1,A121,22.0,A143,A152,1,A173,1,A191,A201
100069,1,A14,36,A32,A46,1819.0,A61,A73,4,A93,A101,4,A124,37.0,A142,A153,1,A173,1,A192,A201
100070,0,A14,36,A32,A43,2394.0,A65,A73,4,A92,A101,4,A123,25.0,A143,A152,1,A173,1,A191,A201
100071,0,A14,36,A32,A41,8133.0,A61,A73,1,A92,A101,2,A122,30.0,A141,A152,1,A173,1,A191,A201
100072,0,A14,7,A34,A43,730.0,A65,A75,4,A93,A101,2,A122,46.0,A143,A151,2,A172,1,A192,A201
100073,0,A11,8,A34,A410,1164.0,A61,A75,3,A93,A101,4,A124,51.0,A141,A153,2,A174,2,A192,A201
100074,0,A12,42,A34,A49,5954.0,A61,A74,2,A92,A101,1,A121,,A141,A152,2,A172,1,A191,A201
100075,1,A11,36,A32,A46,1977.0,A65,A75,4,A93,A101,4,A124,40.0,A143,A152,1,A174,1,A192,A201
100076,0,A11,12,A34,A41,1526.0,A61,A75,4,A93,A101,4,A124,66.0,A143,A153,2,A174,1,A191,A201
100077,1,A11,42,A32,A43,3965.0,A61,A72,4,A93,A101,3,A123,34.0,A143,A152,1,A173,1,A191,A201
100078,0,A12,11,A33,A43,4771.0,A61,A74,2,A93,A101,4,A122,51.0,A143,A152,1,A173,1,A191,A201
100079,0,A14,54,A30,A41,9436.0,A65,A73,2,A93,A101,2,A122,39.0,A143,A152,1,A172,2,A191,A201
100080,0,A12,30,A32,A42,3832.0,A61,A72,2,A94,A101,1,A122,22.0,A143,A152,1,A173,1,A191,A201
100081,1,A14,24,A32,A43,5943.0,A65,A72,1,A92,A101,1,A123,44.0,A143,A152,2,A173,1,A192,A201
100082,0,A14,15,A32,A43,1213.0,A63,A75,4,A93,A101,3,A122,47.0,A142,A152,1,A173,1,A192,A201
100083,0,A14,18,A32,A49,1568.0,A62,A73,3,A92,A101,4,A122,24.0,A143,A151,1,A172,1,A191,A201
100084,0,A11,24,A32,A410,1755.0,A61,A75,4,A92,A103,4,A121,58.0,A143,A152,1,A172,1,A192,A201
100085,0,A11,10,A32,A43,2315.0,A61,A75,3,A93,A101,4,A121,52.0,A143,A152,1,A172,1,A191,A201
100086,0,A14,12,A34,A49,1412.0,A61,A73,4,A92,A103,2,A121,29.0,A143,A152,2,A174,1,A192,A201
100087,0,A12,18,A34,A42,1295.0,A61,A72,4,A92,A101,1,A122,27.0,A143,A152,2,A173,1,A191,A201
100088,1,A12,36,A32,A46,12612.0,A62,A73,1,A93,A101,4,A124,47.0,A143,A153,1,A173,2,A192,A201
100089,0,A11,18,A32,A40,2249.0,A62,A74,4,A93,A101,3,A123,30.0,A143,A152,1,A174,2,A192,A201
100090,1,A11,12,A30,A45,1108.0,A61,A74,4,A93,A101,3,A121,28.0,A143,A152,2,A173,1,A191,A201
100091,0,A14,12,A34,A43,618.0,A61,A75,4,A93,A101,4,A121,56.0,A143,A152,1,A173,1,A191,A201
100092,0,A11,12,A34,A41,1409.0,A61,A75,4,A93,A101,3,A121,54.0,A143,A152,1,A173,1,A191,A201
100093,1,A14,12,A34,A43,797.0,A65,A75,4,A92,A101,3,A122,33.0,A141,A152,1,A172,2,A191,A201
100094,0,A13,24,A34,A42,3617.0,A65,A75,4,A93,A102,4,A124,20.0,A143,A151,2,A173,1,A191,A201
100095,0,A12,12,A32,A40,1318.0,A64,A75,4,A93,A101,4,A121,54.0,A143,A152,1,A173,1,A192,A201
100096,1,A12,54,A30,A49,15945.0,A61,A72,3,A93,A101,4,A124,58.0,A143,A151,1,A173,1,A192,A201
100097,0,A14,12,A34,A46,2012.0,A65,A74,4,A92,A101,2,A123,61.0,A143,A152,1,A173,1,A191,A201
100098,0,A12,18,A32,A49,2622.0,A62,A73,4,A93,A101,4,A123,34.0,A143,A152,1,A173,1,A191,A201
100099,0,A12,36,A34,A43,2337.0,A61,A75,4,A93,A101,4,A121,36.0,A143,A152,1,A173,1,A191,A201
100100,0,A12,20,A33,A41,7057.0,A65,A74,3,A93,A101,4,A122,36.0,A141,A151,2,A174,2,A192,A201
100101,0,A14,24,A32,A40,1469.0,A62,A75,4,A94,A101,4,A121,41.0,A143,A151,1,A172,1,A191,A201
100102,0,A12,36,A32,A43,2323.0,A61,A74,4,A93,A101,4,A123,24.0,A143,A151,1,A173,1,A191,A201
100103,0,A14,6,A33,A43,932.0,A61,A73,3,A92,A101,2,A121,24.0,A143,A152,1,A173,1,A191,A201
100104,0,A12,9,A34,A42,1919.0,A61,A74,4,A93,A101,3,A123,35.0,A143,A151,1,A173,1,A192,A201
100105,0,A14,12,A32,A41,2445.0,A65,A72,2,A94,A101,4,A123,26.0,A143,A151,1,A173,1,A192,A201
100106,1,A12,24,A34,A410,11938.0,A61,A73,2,A93,A102,3,A123,39.0,A143,A152,2,A174,2,A192,A201
100107,1,A14,18,A31,A40,6458.0,A61,A75,2,A93,A101,4,A124,39.0,A141,A152,2,A174,2,A192,A201
100108,0,A12,12,A32,A40,6078.0,A61,A74,2,A93,A101,2,A123,32.0,A143,A152,1,A173,1,A191,A201
100109,0,A11,24,A32,A42,7721.0,A65,A72,1,A92,A101,2,A122,30.0,A143,A152,1,A173,1,A192,A202
100110,0,A12,14,A32,A49,1410.0,A63,A75,1,A94,A101,2,A121,35.0,A143,A152,1,A173,1,A192,A201
100111,0,A12,6,A33,A49,1449.0,A62,A75,1,A91,A101,2,A123,31.0,A141,A152,2,A173,2,A191,A201
100112,0,A13,15,A32,A46,392.0,A61,A72,4,A92,A101,4,A122,23.0,A143,A151,1,A173,1,A192,A201
100113,0,A12,18,A32,A40,6260.0,A61,A74,3,A93,A101,3,A121,28.0,A143,A151,1,A172,1,A191,A201
100114,1,A14,36,A34,A40,7855.0,A61,A73,4,A92,A101,2,A121,25.0,A142,A152,2,A173,1,A192,A201
100115,0,A11,12,A32,A43,1680.0,A63,A75,3,A94,A101,1,A121,35.0,A143,A152,1,A173,1,A191,A201
100116,0,A14,48,A34,A43,3578.0,A65,A75,4,A93,A101,1,A121,47.0,A143,A152,1,A173,1,A192,A201
100117,1,A11,42,A32,A43,7174.0,A65,A74,4,A92,A101,3,A123,30.0,A143,A152,1,A174,1,A192,A201
100118,0,A11,10,A34,A42,2132.0,A65,A72,2,A92,A102,3,A121,27.0,A143,A151,2,A173,1,A191,A202
100119,1,A11,33,A34,A42,4281.0,A63,A73,1,A92,A101,4,A123,23.0,A143,A152,2,A173,1,A191,A201
100120,0,A12,12,A34,A40,2366.0,A63,A74,3,A91,A101,3,A123,36.0,A143,A152,1,A174,1,A192,A201
100121,1,A11,21,A32,A43,1835.0,A61,A73,3,A92,A101,2,A121,25.0,A143,A152,2,A173,1,A192,A201
100122,0,A14,24,A34,A41,3868.0,A61,A75,4,A92,A101,2,A123,41.0,A143,A151,2,A174,1,A192,A201
100123,0,A14,12,A32,A42,1768.0,A61,A73,3,A93,A101,2,A121,24.0,A143,A151,1,A172,1,A191,A201
100124,0,A13,10,A34,A40,781.0,A61,A75,4,A93,A101,4,A124,63.0,A143,A153,2,A173,1,A192,A201
100125,1,A12,18,A32,A42,1924.0,A65,A72,4,A92,A101,3,A121,27.0,A143,A151,1,A173,1,A191,A201
100126,0,A11,12,A34,A40,2121.0,A61,A73,4,A93,A101,2,A122,30.0,A143,A152,2,A173,1,A191,A201
100127,0,A11,12,A32,A43,701.0,A61,A73,4,A94,A101,2,A121,40.0,A143,A152,1,A172,1,A191,A201
100128,1,A12,12,A32,A45,639.0,A61,A73,4,A93,A101,2,A123,30.0,A143,A152,1,A173,1,A191,A201
100129,0,A12,12,A34,A41,1860.0,A61,A71,4,A93,A101,2,A123,34.0,A143,A152,2,A174,1,A192,A201
100130,1,A11,12,A34,A40,3499.0,A61,A73,3,A92,A102,2,A121,29.0,A143,A152,2,A173,1,A191,A201
100131,0,A12,48,A32,A40,8487.0,A65,A74,1,A92,A101,2,A123,24.0,A143,A152,1,A173,1,A191,A201
100132,1,A11,36,A33,A46,6887.0,A61,A73,4,A93,A101,3,A122,29.0,A142,A152,1,A173,1,A192,A201
100133,0,A14,15,A32,A42,2708.0,A61,A72,2,A93,A101,3,A122,27.0,A141,A152,2,A172,1,A191,A201
100134,0,A14,18,A32,A42,1984.0,A61,A73,4,A93,A101,4,A124,47.0,A141,A153,2,A173,1,A191,A201
100135,0,A14,60,A32,A43,10144.0,A62,A74,2,A92,A101,4,A121,21.0,A143,A152,1,A173,1,A192,A201
100136,0,A14,12,A34,A43,1240.0,A65,A75,4,A92,A101,2,A121,38.0,A143,A152,2,A173,1,A192,A201
100137,0,A14,27,A33,A41,8613.0,A64,A73,2,A93,A101,2,A123,27.0,A143,A152,2,A173,1,A191,A201
100138,1,A12,12,A32,A43,766.0,A63,A73,4,A93,A101,3,A121,66.0,A143,A152,1,A172,1,A191,A201
100139,0,A12,15,A34,A43,2728.0,A65,A74,4,A93,A103,2,A121,35.0,A141,A152,3,A173,1,A192,A201
100140,0,A13,12,A32,A43,1881.0,A61,A73,2,A92,A101,2,A123,44.0,A143,A151,1,A172,1,A192,A201
100141,0,A13,6,A32,A40,709.0,A64,A72,2,A94,A101,2,A121,27.0,A143,A152,1,A171,1,A191,A202
100142,0,A12,36,A32,A43,4795.0,A61,A72,4,A92,A101,1,A124,30.0,A143,A152,1,A174,1,A192,A201
100143,0,A11,27,A32,A43,3416.0,A61,A73,3,A93,A101,2,A123,27.0,A143,A152,1,A174,1,A191,A201
100144,1,A11,18,A32,A42,2462.0,A61,A73,2,A93,A101,2,A123,22.0,A143,A152,1,A173,1,A191,A201
100145,0,A14,21,A34,A42,2288.0,A61,A72,4,A92,A101,4,A122,23.0,A143,A152,1,A173,1,A192,A201
100146,0,A12,48,A31,A49,3566.0,A62,A74,4,A93,A101,2,A123,30.0,A143,A152,1,A173,1,A191,A201
100147,0,A11,6,A34,A40,860.0,A61,A75,1,A92,A101,4,A124,39.0,A143,A152,2,A173,1,A192,A201
100148,0,A14,12,A34,A40,682.0,A62,A74,4,A92,A101,3,A123,51.0,A143,A152,2,A173,1,A192,A201
100149,0,A11,36,A34,A42,5371.0,A61,A73,3,A93,A103,2,A122,28.0,A143,A152,2,A173,1,A191,A201
100150,0,A14,18,A34,A43,1582.0,A64,A75,4,A93,A101,4,A123,46.0,A143,A152,2,A173,1,A191,A201
100151,0,A14,6,A32,A43,1346.0,A62,A75,2,A93,A101,4,A124,42.0,A141,A153,1,A173,2,A192,A201
100152,0,A14,10,A32,A43,1924.0,A61,A73,1,A93,A101,4,A122,38.0,A143,A152,1,A173,1,A192,A202
100153,0,A13,36,A32,A43,5848.0,A61,A73,4,A93,A101,1,A123,24.0,A143,A152,1,A173,1,A191,A201
100154,0,A12,24,A34,A41,7758.0,A64,A75,2,A92,A101,4,A124,29.0,A143,A151,1,A173,1,A191,A201
100155,0,A12,24,A33,A49,6967.0,A62,A74,4,A93,A101,4,A123,36.0,A143,A151,1,A174,1,A192,A201
100156,1,A11,12,A32,A42,1282.0,A61,A73,2,A92,A101,4,A123,20.0,A143,A151,1,A173,1,A191,A201
100157,0,A11,9,A34,A45,1288.0,A62,A75,3,A93,A103,4,A121,48.0,A143,A152,2,A173,2,A191,A202
100158,0,A11,12,A31,A48,339.0,A61,A75,4,A94,A101,1,A123,45.0,A141,A152,1,A172,1,A191,A201
100159,0,A12,24,A32,A40,3512.0,A62,A74,2,A93,A101,3,A123,38.0,A141,A152,2,A173,1,A192,A201
100160,0,A14,6,A34,A43,1898.0,A65,A73,1,A93,A101,2,A121,34.0,A143,A152,2,A172,2,A191,A201
100161,0,A14,24,A34,A43,2872.0,A62,A75,3,A93,A101,4,A121,36.0,A143,A152,1,A173,2,A192,A201
100162,0,A14,18,A34,A40,1055.0,A61,A72,4,A92,A101,1,A122,30.0,A143,A152,2,A173,1,A191,A201
100163,0,A14,15,A32,A44,1262.0,A63,A74,4,A93,A101,3,A122,36.0,A143,A152,2,A173,1,A192,A201
100164,0,A12,10,A32,A40,7308.0,A61,A71,2,A93,A101,4,A124,70.0,A141,A153,1,A174,1,A192,A201
100165,0,A14,36,A32,A40,909.0,A63,A75,4,A93,A101,4,A122,36.0,A143,A152,1,A173,1,A191,A201
100166,0,A14,6,A32,A42,2978.0,A63,A73,1,A93,A101,2,A123,32.0,A143,A152,1,A173,1,A192,A201
100167,1,A11,18,A32,A42,1131.0,A61,A71,4,A92,A101,2,A123,33.0,A143,A152,1,A173,1,A191,A201
100168,0,A12,11,A32,A42,1577.0,A64,A72,4,A92,A101,1,A121,20.0,A143,A152,1,A173,1,A191,A201
100169,0,A14,24,A32,A42,3972.0,A61,A74,2,A92,A101,4,A122,25.0,A143,A151,1,A173,1,A192,A201
100170,1,A12,24,A34,A49,1935.0,A61,A75,4,A91,A101,4,A121,31.0,A143,A152,2,A173,1,A192,A201
100171,1,A11,15,A30,A40,950.0,A61,A75,4,A93,A101,3,A123,33.0,A143,A151,2,A173,2,A191,A201
100172,0,A14,12,A32,A42,763.0,A61,A73,4,A92,A101,1,A121,26.0,A143,A152,1,A173,1,A192,A201
100173,1,A12,24,A33,A42,2064.0,A61,A71,3,A92,A101,2,A122,34.0,A143,A152,1,A174,1,A192,A201
100174,0,A12,8,A32,A43,1414.0,A61,A73,4,A93,A103,2,A121,33.0,A143,A152,1,A173,1,A191,A202
100175,1,A11,21,A33,A46,3414.0,A61,A72,2,A93,A101,1,A122,26.0,A143,A152,2,A173,1,A191,A201
100176,1,A14,30,A31,A41,7485.0,A65,A71,4,A92,A101,1,A121,53.0,A141,A152,1,A174,1,A192,A201
100177,0,A11,12,A32,A42,2577.0,A61,A73,2,A91,A101,1,A123,42.0,A143,A152,1,A173,1,A191,A201
100178,0,A11,6,A34,A43,338.0,A63,A75,4,A93,A101,4,A123,52.0,A143,A152,2,A173,1,A191,A201
100179,0,A14,12,A32,A43,1963.0,A61,A74,4,A93,A101,2,A123,31.0,A143,A151,2,A174,2,A192,A201
100180,0,A11,21,A34,A40,571.0,A61,A75,4,A93,A101,4,A121,65.0,A143,A152,2,A173,1,A191,A201
100181,1,A14,36,A33,A49,9572.0,A61,A72,1,A91,A101,1,A123,28.0,A143,A152,2,A173,1,A191,A201
100182,1,A12,36,A33,A49,4455.0,A61,A73,2,A91,A101,2,A121,30.0,A142,A152,2,A174,1,A192,A201
100183,1,A11,21,A31,A40,,A65,A73,4,A93,A101,2,A122,40.0,A143,A152,2,A172,2,A191,A201
100184,0,A14,24,A34,A42,3777.0,A64,A73,4,A93,A101,4,A121,50.0,A143,A152,1,A173,1,A192,A201
100185,1,A12,18,A34,A40,884.0,A61,A75,4,A93,A101,4,A123,36.0,A141,A152,1,A173,2,A192,A201
100186,0,A14,15,A34,A43,1360.0,A61,A73,4,A93,A101,2,A122,31.0,A143,A152,2,A173,1,A191,A201
100187,1,A12,9,A31,A41,5129.0,A61,A75,2,A92,A101,4,A124,74.0,A141,A153,1,A174,2,A192,A201
100188,0,A12,16,A34,A40,1175.0,A61,A71,2,A93,A101,3,A123,68.0,A143,A153,3,A171,1,A192,A201
100189,1,A11,12,A32,A43,674.0,A62,A74,4,A94,A101,1,A122,20.0,A143,A152,1,A173,1,A191,A201
100190,0,A12,18,A30,A42,3244.0,A61,A73,1,A92,A101,4,A123,33.0,A141,A152,2,A173,1,A192,A201
100191,1,A14,24,A32,A49,4591.0,A64,A73,2,A93,A101,3,A122,54.0,A143,A152,3,A174,1,A192,A201
100192,1,A12,48,A30,A49,3844.0,A62,A74,4,A93,A101,4,A124,34.0,A143,A153,1,A172,2,A191,A201
100193,1,A12,27,A32,A49,3915.0,A61,A73,4,A93,A101,2,A123,36.0,A143,A152,1,A173,2,A192,A201
100194,0,A14,6,A32,A43,2108.0,A61,A74,2,A94,A101,2,A121,29.0,A143,A151,1,A173,1,A191,A201
100195,1,A12,45,A32,A43,3031.0,A62,A73,4,A93,A103,4,A122,21.0,A143,A151,1,A173,1,A191,A201
100196,1,A12,9,A34,A46,1501.0,A61,A75,2,A92,A101,3,A123,34.0,A143,A152,2,A174,1,A192,A201
100197,0,A14,6,A34,A43,1382.0,A61,A73,1,A92,A101,1,A123,28.0,A143,A152,2,A173,1,A192,A201
100198,1,A12,12,A32,A42,951.0,A62,A72,4,A92,A101,4,A123,27.0,A141,A151,4,A173,1,A191,A201
100199,0,A12,24,A32,A41,2760.0,A65,A75,4,A93,A101,4,A124,36.0,A141,A153,1,A173,1,A192,A201
100200,1,A12,18,A33,A42,4297.0,A61,A75,4,A91,A101,3,A124,40.0,A143,A152,1,A174,1,A192,A201
100201,0,A14,9,A34,A46,936.0,A63,A75,4,A93,A101,2,A123,52.0,A143,A152,2,A173,1,A192,A201
100202,0,A11,12,A32,A40,1168.0,A61,A73,4,A94,A101,3,A121,27.0,A143,A152,1,A172,1,A191,A201
100203,0,A14,27,A33,A49,5117.0,A61,A74,3,A93,A101,4,A123,26.0,A143,A152,2,A173,1,A191,A201
100204,1,A11,12,A32,A48,902.0,A61,A74,4,A94,A101,4,A122,21.0,A143,A151,1,A173,1,A191,A201
100205,0,A14,12,A34,A40,1495.0,A61,A75,4,A93,A101,1,A121,38.0,A143,A152,2,A172,2,A191,A201
100206,0,A11,30,A34,A41,10623.0,A61,A75,3,A93,A101,4,A124,38.0,A143,A153,3,A174,2,A192,A201
100207,0,A14,12,A34,A42,1935.0,A61,A75,4,A93,A101,4,A121,43.0,A143,A152,3,A173,1,A192,A201
100208,0,A12,12,A34,A44,1424.0,A61,A74,4,A93,A101,3,A122,26.0,A143,A152,1,A173,1,A191,A201
100209,0,A11,24,A32,A49,6568.0,A61,A73,2,A94,A101,2,A123,21.0,A142,A152,1,A172,1,A191,A201
100210,0,A14,12,A32,A41,1413.0,A64,A74,3,A93,A101,2,A122,55.0,A143,A152,1,A173,1,A191,A202
100211,0,A14,9,A34,A43,3074.0,A65,A73,1,A93,A101,2,A121,33.0,A143,A152,2,A173,2,A191,A201
100212,0,A14,36,A32,A43,3835.0,A65,A75,2,A92,A101,4,A121,45.0,A143,A152,1,A172,1,A192,A201
100213,1,A11,27,A30,A49,5293.0,A61,A71,2,A93,A101,4,A122,50.0,A142,A152,2,A173,1,A192,A201
100214,1,A13,30,A33,A49,1908.0,A61,A75,4,A93,A101,4,A121,66.0,A143,A152,1,A174,1,A192,A201
100215,0,A14,36,A34,A43,3342.0,A65,A75,4,A93,A101,2,A123,51.0,A143,A152,1,A173,1,A192,A201
100216,0,A12,6,A34,A48,932.0,A65,A74,1,A92,A101,3,A122,39.0,A143,A152,2,A172,1,A191,A201
100217,0,A11,18,A30,A49,3104.0,A61,A74,3,A93,A101,1,A122,31.0,A141,A152,1,A173,1,A192,A201
